NOME_CIENTIFICO	AUTOR	ANO	NOME_COMUM	CLASSE	ORDEM	FAMILIA	CATEGORIA	CRITERIO	CBRO_2021
Phylloscartes kronei	Willis & Oniki	1992	maria-da-restinga	Aves	Passeriformes	Rhynchocyclidae	VU	B1ab(ii, iii)+2ª b(ii, iii); C2a(i)	Phylloscartes kronei
Piprites chloris	(Temminck)	1822	papinho-amarelo	Aves	Passeriformes	Pipridae	VU	D	Piprites chloris
Platyrinchus leucoryphus	Wied-Neuwied	1831	patinho-gigante	Aves	Passeriformes	Tyrannidae	RE		Platyrinchus leucoryphus
Polystictus pectoralis	Vieillot	1817	papa-moscas-canela, tricolino-canela	Aves	Passeriformes	Tyrannidae	EN	C2a(i)	Polystictus pectoralis
Porzana spiloptera	Durnford	1877	sanã-cinza	Aves	Gruiformes	Rallidae	EN	C2b	Laterallus spilopterus
Primolius maracana	(Vieillot)	1816	maracanã	Aves	Psittaciformes	Psittacidae	RE		Primolius maracana
Procellaria aequinoctialis	Linnaeus	1758	pardela-preta	Aves	Procellariiformes	Procellariidae	VU	A4bcde	Procellaria aequinoctialis
Procellaria conspicillata	Gould	1844	pardela-de-óculos	Aves	Procellariiformes	Procellariidae	VU	D2	Procellaria conspicillata
Procnias nudicollis	(Vieillot)	1817	araponga, ferreiro	Aves	Passeriformes	Cotingidae	VU	B1ab(i, iii); C2a(ii)	Procnias nudicollis
Pseudastur polionotus	(Kaup)	1847	gavião-pombo-branco	Aves	Falconiformes	Accipitridae	VU	C2a(i)	Pseudastur polionotus
Pseudoseisura lophotes	(Reichenbach)	1853	coperete	Aves	Passeriformes	Furnariidae	VU	B1ab(iii)	Pseudoseisura lophotes
Psilorhamphus guttatus	(Ménétriès)	1835	macuquinho-pintado	Aves	Passeriformes	Rhinocryptidae	VU	B1ab(iii)+2ab (iii)	Psilorhamphus guttatus
Pterodroma incerta	(Schlegel)	1863	pardela-de-capuz	Aves	Procellariiformes	Procellariidae	EN	B2ab(v)	Pterodroma incerta
Pteroglossus bailloni	(Vieillot)	1819	araçari-banana	Aves	Piciformes	Ramphastidae	VU	D1	Pteroglossus bailloni
Pulsatrix perspicillata	(Latham)	1790	murucututu	Aves	Strigiformes	Strigidae	EN	D	Pulsatrix perspicillata
Pyroderus scutatus	(Shaw)	1792	pavó	Aves	Passeriformes	Cotingidae	VU	C2a(i)	Pyroderus scutatus
Saltator fuliginosus	(Daudin)	1800	bico-de-pimenta	Aves	Passeriformes	Emberizidae	VU	B1ab(iii); C1	Saltator fuliginosus
Scytalopus iraiensis	Bornschein, Reinert & Pichorim	1998	macuquinho-da-várzea	Aves	Passeriformes	Rhinocryptidae	EN	B1ab(iii)	Scytalopus iraiensis
Selenidera maculirostris	(Lichtenstein)	1823	araçaripoca	Aves	Piciformes	Ramphastidae	EN	D	Selenidera maculirostris
Spizaetus melanoleucus	(Vieillot)	1816	gavião-pato	Aves	Falconiformes	Accipitridae	EN	C2a(i)	Spizaetus melanoleucus
Spizaetus ornatus	(Daudin)	1800	gavião-de-penacho	Aves	Falconiformes	Accipitridae	CR	C2a(i); D	Spizaetus ornatus
Spizaetus tyrannus	(Wied-Neuwied)	1820	gavião-pega-macaco	Aves	Falconiformes	Accipitridae	EN	C2a(i)	Spizaetus tyrannus
Sporophila angolensis	(Linnaeus)	1766	curió	Aves	Passeriformes	Emberizidae	EN	C1	Sporophila angolensis
Sporophila bouvreuil	Sclater	1864	caboclinho, caboclinho-branco, caboclinho-coroado	Aves	Passeriformes	Emberizidae	VU	C1	Sporophila bouvreuil
Sporophila frontalis	(Verreaux)	1869	pixoxó	Aves	Passeriformes	Emberizidae	RE		Sporophila frontalis
Sporophila hypoxantha	Cabanis	1851	caboclinho-de barriga-vermelha	Aves	Passeriformes	Emberizidae	VU	C1	Sporophila hypoxantha
Sporophila melanogaster	(Pelzeln)	1870	caboclinho-de-barriga-preta, caboclinho-preto, bico-de-ferro	Aves	Passeriformes	Emberizidae	EN	C1	Sporophila melanogaster
Sporophila palustris	(Barrows)	1883	caboclinho-de-papo-branco	Aves	Passeriformes	Emberizidae	VU	C2a(i)	Sporophila palustris
Sporophila plumbea	(Wied-Neuwied)	1830	patativa-do-sul, patativa-de-bico-amarelo, patativa	Aves	Passeriformes	Emberizidae	EN	B1b(iii, iv, v)c (iii, iv)+2b(iii, i v, v)c(iii, iv); C1	Sporophila plumbea
Sporophila ruficollis	Cabanis	1851	caboclinho-de-papo-escuro	Aves	Passeriformes	Emberizidae	VU	B1b(iii)c(ii)	Sporophila ruficollis
Sturnella defilippii	(Bonaparte)	1850	peito-vermelho-grande	Aves	Passeriformes	Icteridae	RE		Leistes defilippii
Stymphalornis acutirostris	Bornschein, Reinert & Teixeira	1995	bicudinho-do-brejo	Aves	Passeriformes	Thamnophilidae	EN	B2ab(iii)	Formicivora acutirostris
Tangara peruviana	(Desmarest)	1806	saíra-sapucaia	Aves	Passeriformes	Emberizidae	EN	B1ab(iii)+2ab (iii); C2a(ii)	Stilpnia peruviana
Thalassarche chlororhynchos	(Gmelin)	1789	albatroz-de-nariz-amarelo	Aves	Procellariiformes	Diomedeidae	EN	A4bcd	Thalassarche chlororhynchos
Thalassarche melanophris	(Temminck)	1828	albatroz-de-sobrancelha-negra	Aves	Procellariiformes	Diomedeidae	EN	A2bd	Thalassarche melanophris
Thalasseus acuflavidus	(Cabot)	1847	trinta-réis-de-bico-amarelo	Aves	Charadriiformes	Sternidae	VU	A2c	Thalasseus acuflavidus
Thalasseus maximus	(Boddaert)	1783	trinta-réis-real	Aves	Charadriiformes	Sternidae	EN	C1	Thalasseus maximus
Tinamus solitarius	(Vieillot)	1819	macuco	Aves	Tinamiformes	Tinamidae	VU	B1ab(i, ii, iii, v)	Tinamus solitarius
Urubitinga coronata	(Vieillot)	1817	águia-cinzenta	Aves	Falconiformes	Accipitridae	CR	C2a(ii)	Urubitinga coronata
Veniliornis mixtus	(Boddaert)	1783	picapauzinho-chorão	Aves	Piciformes	Picidae	EN	B1ab(iii); C2a(ii)	Veniliornis mixtus
Xanthopsar flavus	(Gmelin)	1788	veste-amarela	Aves	Passeriformes	Icteridae	VU	C1	Xanthopsar flavus
Xolmis dominicanus	(Vieillot)	1823	noivinha-de-rabo-preto, tobianinha	Aves	Passeriformes	Tyrannidae	VU	C1	Heteroxolmis dominicanus
Antrostomus sericocaudatus	(Cassin)	1849	bacurau-rabo-de-seda	Aves	Caprimulgiformes	Caprimulgidae	NT	D1	Antrostomus sericocaudatus
Asio flammeus	(Pontoppidan)	1763	mocho-dos-banhados	Aves	Strigiformes	Strigidae	NT	A2c+3c+4c	Asio flammeus
Cacicus solitarius	(Vieillot)	1816	iraúna-de-bico-branco	Aves	Passeriformes	Icteridae	NT	D1	Cacicus solitarius
Cairina moschata	(Linnaeus)	1758	pato-do-mato	Aves	Anseriformes	Anatidae	NT	C1	Cairina moschata
Calonectris edwardsii	(Oustalet)	1883	pardela-de-cabo-verde	Aves	Procellariiformes	Procellariidae	NT	C1; D2	Calonectris edwardsii
Campephilus robustus	(Lichtenstein)	1818	pica-pau-rei	Aves	Piciformes	Picidae	NT	D1	Campephilus robustus
Charadrius falklandicus	Latham	1790	batuíra-de-coleira-dupla	Aves	Charadriiformes	Charadriidae	NT	D1	Charadrius falklandicus
Cichlocolaptes leucophrus	(Jardine & Selby)	1830	trepador-sobrancelha	Aves	Passeriformes	Furnariidae	NT	D1	Cichlocolaptes leucophrus
Cissopis leveriana	(Gmelin)	1788	tiê-tinga	Aves	Passeriformes	Emberizidae	NT	B1ab(iii)	Cissopis leverianus
Cistothorus platensis	(Latham)	1790	corruíra-do-campo	Aves	Passeriformes	Troglodytidae	NT	A3c+4c; B1b(iii)c(ii)	Cistothorus platensis
Cranioleuca sulphurifera	(Burmeister)	1869	arredio-de-papo-manchado	Aves	Passeriformes	Furnariidae	NT	C1	Limnoctites sulphuriferus
Drymornis bridgesii	(Eyton)	1850	arapaçu-platino	Aves	Passeriformes	Dendrocolaptidae	NT	D1	Drymornis bridgesii
Geranoaetus melanoleucus	(Vieillot)	1819	águia-chilena	Aves	Falconiformes	Accipitridae	NT	A3c+4c; C1	Geranoaetus melanoleucus
Grallaria varia	(Boddaert)	1783	tovacuçu	Aves	Passeriformes	Formicariidae	NT	B1ab(iii)	Grallaria varia
Gubernetes yetapa	(Vieillot)	1818	tesoura-do-brejo	Aves	Passeriformes	Tyrannidae	NT	C1	Gubernetes yetapa
Leptodon cayanensis	(Latham)	1790	gavião-de-cabeça-cinza	Aves	Falconiformes	Accipitridae	NT	D1	Leptodon cayanensis
Limnoctites rectirostris	(Gould)	1839	arredio-do-gravatá, junqueiro-de-bico-reto	Aves	Passeriformes	Furnariidae	NT	A2c+3c+4c	Limnoctites rectirostris
Limnornis curvirostris	Gould	1839	joão-da-palha	Aves	Passeriformes	Furnariidae	NT	A2c	Limnornis curvirostris
Mesembrinibis cayennensis	(Gmelin)	1789	coró-coró	Aves	Ciconiiformes	Threskiornithidae	NT	D1	Mesembrinibis cayennensis
Molothrus oryzivorus	(Gmelin)	1788	iraúna-grande	Aves	Passeriformes	Icteridae	NT	D1	Molothrus oryzivorus
Odontophorus capueira	(Spix)	1825	uru	Aves	Galliformes	Odontophoridae	NT	B1ab(ii, iii)	Odontophorus capueira
Phibalura flavirostris	Vieillot	1816	tesourinha-do-mato	Aves	Passeriformes	Cotingidae	NT	D1	Phibalura flavirostris
Piprites pileata	(Temminck)	1822	caneleirinho-de-boné-preto	Aves	Passeriformes	Pipridae	NT	D1	Piprites pileata
Polioptila lactea	Sharpe	1885	balança-rabo-leitoso	Aves	Passeriformes	Muscicapidae	NT	C1	Polioptila lactea
Poospiza melanoleuca	(d`Orbigny & Lafresnaye)	1837	capacetinho	Aves	Passeriformes	Emberizidae	NT	D1	Microspingus melanoleucus
Pteroglossus castanotis	Gould	1834	araçari-castanho	Aves	Piciformes	Ramphastidae	NT	D1	Pteroglossus castanotis
Pyriglena leucoptera	(Vieillot)	1818	papa-taoca	Aves	Passeriformes	Formicariidae	NT	B1ab(ii, iii)	Pyriglena leucoptera
Sarcoramphus papa	(Linnaeus)	1758	urubu-rei	Aves	Falconiformes	Cathartidae	NT	B1ab(iii)+2ab(iii); C1	Sarcoramphus papa
Sarkidiornis sylvicola	(Pennant)	1769	pato-de-crista	Aves	Anseriformes	Anatidae	NT	D1	Sarkidiornis sylvicola
Spheniscus magellanicus	(Forster)	1781	pinguim-de-magalhães	Aves	Sphenisciformes	Spheniscidae	NT	A2bcde	Spheniscus magellanicus
Sporophila cinnamomea	(Lafresnaye)	1839	caboclinho-de-chapéu-cinzento	Aves	Passeriformes	Emberizidae	NT	C1	Sporophila cinnamomea
Sporophila collaris	(Boddaert)	1783	coleiro-do-brejo	Aves	Passeriformes	Emberizidae	NT	C1	Sporophila collaris
Tangara cyanocephala	(Müller)	1776	saíra-militar	Aves	Passeriformes	Emberizidae	NT	C1	Tangara cyanocephala
Tangara seledon	(Müller)	1776	saíra-de-sete-cores	Aves	Passeriformes	Emberizidae	NT	C1	Tangara seledon
Triclaria malachitacea	(Spix)	1824	sabiá-cica	Aves	Psittaciformes	Psittacidae	NT	B1ab(ii, iii, v); C1	Triclaria malachitacea
Tryngites subruficollis	(Vieillot)	1819	maçarico-acanelado	Aves	Charadriiformes	Scolopacidae	NT	C1	Calidris subruficollis
Aegolius harrisii	Sharpe	1899	caburé-acanelado	Aves	Strigiformes	Strigidae	DD		Aegolius harrisii
Arremon semitorquatus	Swainson	1838	tico-tico-do-mato	Aves	Passeriformes	Emberizidae	DD		Arremon semitorquatus
Brotogeris tirica	(Gmelin)	1788	periquito-rico	Aves	Psittaciformes	Psittacidae	DD		Brotogeris tirica
Campephilus leucopogon	(Valenciennes)	1826	pica-pau-de-barriga-preta	Aves	Piciformes	Picidae	DD		Campephilus leucopogon
Chondrohierax uncinatus	(Temminck)	1822	caracoleiro	Aves	Falconiformes	Accipitridae	DD		Chondrohierax uncinatus
Coccyzus euleri	Cabanis	1873	papa-lagarta-de-euler	Aves	Cuculiformes	Cuculidae	DD		Coccyzus euleri
Colibri serrirostris	(Vieillot)	1816	beija-flor-de-orelha-violeta	Aves	Apodiformes	Trochilidae	DD		Colibri serrirostris
Coturnicops notatus	(Gould)	1841	pinto-d`água-pintalgado	Aves	Gruiformes	Rallidae	DD		Coturnicops notatus
Gelochelidon nilotica	(Gmelin)	1789	trinta-réis-de-bico-preto	Aves	Charadriiformes	Sternidae	DD		Gelochelidon nilotica
Macronectes halli	Mathews	1912	pardelão-gigante-de-bico - vermelho	Aves	Procellariiformes	Procellariidae	DD		Macronectes halli
Nonnula rubecula	(Spix)	1824	macuru	Aves	Galbuliformes	Bucconidae	DD		Nonnula rubecula
Orthogonys chloricterus	(Vieillot)	1819	catirumbava	Aves	Passeriformes	Thraupidae	DD		Orthogonys chloricterus
Penelope superciliaris	Temminck	1815	jacupemba, jacu-velho	Aves	Galliformes	Cracidae	DD		Penelope superciliaris
Phyllomyias griseocapilla	Sclater	1862	piolhinho-serrano	Aves	Passeriformes	Tyrannidae	DD		Phyllomyias griseocapilla
Polytmus guainumbi	(Pallas)	1764	beija-flor-de-bico-curvo	Aves	Apodiformes	Trochilidae	DD		Polytmus guainumbi
Porzana flaviventer	(Boddaert)	1783	sanã-amarela	Aves	Gruiformes	Rallidae	DD		Porzana flaviventer
Strix virgata	(Cassin)	1849	coruja-do-mato	Aves	Strigiformes	Strigidae	DD		Strix virgata
Thalassarche cauta	(Gould)	1841	albatroz-arisco	Aves	Procellariiformes	Diomedeidae	DD		Thalassarche cauta
Phyllomyias griseocapilla	Sclater	1862	piolhinho-serrano	Aves	Passeriformes	Tyrannidae	DD		Phyllomyias griseocapilla
Polytmus guainumbi	(Pallas)	1764	beija-flor-de-bico-curvo	Aves	Apodiformes	Trochilidae	DD		Polytmus guainumbi
Porzana flaviventer	(Boddaert)	1783	sanã-amarela	Aves	Gruiformes	Rallidae	DD		Porzana flaviventer
Strix virgata	(Cassin)	1849	coruja-do-mato	Aves	Strigiformes	Strigidae	DD		Strix virgata
Thalassarche cauta	(Gould)	1841	albatroz-arisco	Aves	Procellariiformes	Diomedeidae	DD		Thalassarche cauta
